"height,","weight/build,",skeletal;,color,texture,with pattern;,rarity;,behavior/personality/demeanor;,characteristics1,characteristics2;,uses;,habitat;,diet;,order: social organization
"1"" tall,","thick build,",4 legs;,red,scales,with whiskers;,unique;,aggressive;,rending beak;,mimics sounds;,valuable pelt;,habitat: tundra;,diet: leaves;,order: solitary
"3"" tall,","fat build,",6 legs;,orange,fur,with white spots;,overpopulated;,shy;,sharp beak;,senses tremors;,valuable bones;,habitat: plains;,diet: grass;,order: small packs
"6"" tall,","dense build,",2 legs;,yellow,skin,with white speckles;,common;,hostile;,diamond beak;,piercing howl;,valuable eggs;,habitat: reef;,diet: meat;,order: small herds
"1' tall,","wiry build,",4 arms;,dark green,wool,with a white mane;,uncommon;,destructive;,crystal beak;,undead;,can be ridden;,habitat: cave;,diet: rodents;,order: small flocks
"2' tall,","gaunt,",fins;,blue,hair,with white bands;,rare;,threatening;,steel beak;,skeletal;,can be tamed;,habitat: dunes;,diet: berries;,order: large packs
"3' tall,","slender,",2 wings;,purple,feathers,with white streaks;,very rare;,protective;,iron beak;,venomous bite;,can be milked;,habitat: jungle;,diet: nuts;,order: large herds
"4' tall,","lanky build,",4 wings;,black,quills,with a white belly;,very common;,belligerent;,golden beak;,bony armor;,lay eggs;,habitat: forest;,diet: citrus;,order: large flocks
"5' tall,","plump,",legless;,white,chitin,with white blotches;,endangered;,insane;,long beak;,bony spines;,draft beasts;,habitat: marsh;,diet: carcasses;,order: colonies
"6' tall,","stocky,",8 legs;,gray,fleece,with white limbs;,extinct;,lethargic;,razor beak;,exposed brain;,prized eggs;,habitat: arctic;,diet: marrow;,order: tribes
"7' tall,","heavyset,",8 tentacles;,brown,plating,with a white head;,commonplace;,patient;,short beak;,exposed skull;,prized hide;,habitat: hill;,diet: blood;,order: small swarms
"8' tall,","sinewy,",4 tentacles;,beige,carapace,with white stripes;,numerous;,prideful;,bone beak;,can speak;,healing blood;,habitat: swamp;,diet: fish;,order: large swarms
"9' tall,","stout build,",many limbs;,lime green,pelt,with a white stripe;,legendary;,arrogant;,hooked beak;,psychic;,blood of youth;,habitat: river;,diet: birds;,order: small broods
"10' tall,","light build,",3 legs;,tan,hide,with a white tail;,mythical;,intrusive;,brittle beak;,casts spells;,healing mucous;,habitat: lake;,diet: insects;,order: large broods
"12' tall,","bulky,",4 legs,sable,coat,with a white shell;,,quarrelsome;,blunt beak;,regenerates;,valuable eyes;,habitat: sea;,diet: dogs;,order: family units
"16' tall,","muscular,",4 legs,silver,reptile,with black spots;,,militant;,rending claws;,levitates;,magic blood;,habitat: beach;,diet: cats;,order: pairs
"20' tall,","lean,",4 legs,golden,amphibian,with black speckles;,,calm;,sharp claws;,agile;,poison blood;,habitat: rocks;,diet: humanoids;,order: trios
"2"" tall,","thin build,",4 legs,copper,mammal,with a black mane;,,easygoing;,diamond claws;,swift;,strong leather;,habitat: wasteland;,diet: horses;,order: clans
"1.5' tall,",,2 legs,charcoal,insectoid,with black bands;,,bold;,crystal claws;,indestructible;,good mounts;,habitat: sewer;,diet: reptiles;,order: small prides
"2.5' tall,",,2 legs,rusty,bird,with black streaks;,,energetic;,steel claws;,spider climbs;,good meat;,habitat: mountain;,diet: snakes;,order: large prides
"3.5' tall,",,2 wings,chestnut,mollusk,with a black belly;,,hyperactive;,iron claws;,camouflage;,bad meat;,habitat: cliff;,diet: bamboo;,order: colonies
"4.5' tall,",,4 legs,russet,,with black blotches;,,territorial;,golden claws;,thick hide;,good leather;,habitat: valley;,diet: shellfish;,order: large nests
"5.5' tall,",,,auburn,,with black limbs;,,meek;,long claws;,armored hide;,soft leather;,habitat: wetland;,diet: ants;,order: small nests
"6.6' tall,",,,tawny,,with a black head;,,brazen;,razor claws;,keen nose;,valuable lard;,habitat: savanna;,diet: flies;,order: mated pairs
